,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
29,Marcus Morris,27,DET,SF,79,79,2565,.418,17.3,.645,.113,.086,.192,.255,.355,.466,.623,.356,.430,.459,.331,.380,.915,.007,7,.154,.436,6,0,,morrima03
30,Marcin Gortat,32,WAS,C,82,82,2556,.579,5.0,.997,.522,.312,.141,.022,.003,.580,.702,.486,.368,.400,.000,.710,,.083,46,.000,,0,0,,gortama01
31,Myles Turner,20,IND,C,81,81,2541,.511,12.0,.868,.295,.150,.122,.300,.132,.536,.715,.469,.453,.429,.348,.812,.975,.100,86,.113,.154,1,0,,turnemy01
32,Carmelo Anthony,32,NYK,SF,74,74,2538,.433,16.6,.697,.127,.076,.211,.284,.303,.466,.563,.419,.437,.457,.359,.313,.762,.011,12,.109,.435,7,0,AS,anthoca01
33,Marc Gasol,32,MEM,C,74,74,2531,.459,13.9,.769,.129,.255,.196,.189,.231,.480,.673,.480,.441,.388,.388,.570,.981,.022,23,.019,.400,2,0,AS,gasolma01
34,Kentavious Caldwell-Pope,23,DET,SG,76,75,2529,.399,17.8,.529,.152,.079,.113,.185,.471,.442,.610,.274,.381,.413,.350,.525,.784,.020,19,.172,.467,7,0,,caldwke01
35,Kyrie Irving,24,CLE,PG,72,72,2525,.473,14.0,.689,.264,.123,.159,.144,.311,.505,.603,.362,.469,.485,.401,.223,.531,.001,2,.195,.384,1,0,AS,irvinky01
36,Gordon Hayward,26,UTA,SF,73,73,2516,.471,14.4,.676,.230,.126,.138,.181,.324,.506,.692,.425,.444,.378,.398,.429,.745,.062,68,.134,.400,1,0,AS,haywago01
37,Hassan Whiteside,27,MIA,C,77,77,2513,.557,5.4,1.000,.445,.374,.106,.075,.000,.557,.741,.423,.398,.370,,.585,,.179,163,,,0,0,DPOY-5,whiteha01
38,Wesley Matthews,30,DAL,SG,73,73,2495,.393,18.7,.434,.113,.091,.112,.119,.566,.432,.552,.377,.432,.356,.363,.296,.839,.001,1,.177,.435,2,0,,matthwe02
39,Dennis Schröder,23,ATL,PG,79,78,2485,.451,11.8,.758,.375,.125,.091,.168,.242,.487,.558,.382,.387,.456,.340,.210,.670,.002,1,.088,.500,1,0,,schrode01
40,Kawhi Leonard,25,SAS,SF,74,74,2474,.485,14.8,.705,.172,.143,.180,.210,.295,.529,.664,.527,.441,.493,.380,.384,.782,.055,67,.155,.483,0,0,MVP-3DPOY-3ASNBA1DEF1,leonaka01
41,Draymond Green,26,GSW,PF,76,76,2471,.418,12.8,.595,.394,.138,.035,.031,.405,.494,.637,.211,.174,.250,.308,.712,.975,.109,65,.068,.389,1,0,DPOY-1ASNBA3DEF1,greendr01
42,Ricky Rubio,26,MIN,PG,75,75,2469,.402,16.1,.698,.194,.062,.105,.337,.302,.443,.484,.325,.471,.434,.306,.269,.950,.000,0,.291,.298,3,0,,rubiori01
43,DeMarcus Cousins,26,2TM,C,72,72,2465,.452,11.8,.747,.339,.214,.054,.139,.253,.483,.604,.408,.312,.372,.361,.399,.893,.056,66,.030,.273,6,0,AS,couside01
43,DeMarcus Cousins,26,SAC,C,55,55,1891,.452,11.5,.761,.327,.227,.058,.147,.239,.482,.615,.406,.277,.390,.356,.424,.884,.059,56,.041,.273,4,0,,couside01
43,DeMarcus Cousins,26,NOP,C,17,17,574,.452,12.2,.694,.379,.166,.038,.111,.306,.486,.571,.423,.500,.286,.375,.302,.917,.045,10,.000,,2,0,,couside01
44,Courtney Lee,31,NYK,SG,77,74,2459,.456,16.0,.618,.163,.107,.152,.202,.382,.490,.574,.427,.486,.444,.401,.521,.889,.014,9,.405,.459,0,0,,leeco01
45,Goran Dragić,30,MIA,PG,73,73,2459,.475,12.5,.743,.267,.187,.177,.113,.257,.499,.610,.486,.417,.386,.405,.204,.658,.000,0,.211,.426,0,0,,dragigo01
46,Serge Ibaka,27,2TM,PF,79,79,2422,.480,15.5,.677,.146,.189,.177,.165,.323,.522,.727,.457,.466,.475,.391,.666,.984,.038,35,.057,.167,0,0,,ibakase01
