,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
105,T.J. Warren,23,PHO,SF,66,59,2048,.495,10.7,.880,.290,.221,.200,.167,.120,.527,.746,.456,.399,.397,.265,.536,.923,.032,23,.520,.255,3,0,,warretj01
106,Jameer Nelson,34,DEN,PG,75,39,2045,.444,17.1,.548,.212,.079,.056,.200,.452,.489,.594,.479,.324,.430,.388,.327,.726,.000,0,.103,.286,1,0,,nelsoja01
107,Nikola Jokić,21,DEN,C,73,59,2038,.578,9.5,.837,.349,.293,.097,.102,.163,.628,.674,.624,.530,.552,.324,.566,.933,.029,23,.072,.100,1,0,,jokicni01
108,Seth Curry,26,DAL,PG,70,42,2029,.481,17.3,.542,.129,.127,.088,.198,.458,.528,.637,.584,.516,.424,.425,.229,.745,.000,0,.217,.486,1,0,,curryse01
109,Cory Joseph,25,TOR,PG,80,22,2003,.452,12.4,.796,.248,.212,.120,.216,.204,.477,.598,.421,.380,.448,.356,.175,.958,.000,0,.311,.357,0,0,,josepco01
110,Andre Iguodala,33,GSW,SF,76,0,1998,.528,14.1,.573,.361,.043,.034,.133,.427,.651,.767,.333,.286,.545,.362,.703,.922,.195,76,.441,.372,2,0,6MOY-2,iguodan01
111,Monta Ellis,31,IND,SG,74,33,1998,.443,13.4,.758,.262,.151,.086,.259,.242,.483,.616,.500,.417,.361,.319,.324,.884,.014,7,.400,.296,2,0,,ellismo01
112,Lou Williams,30,2TM,SG,81,1,1994,.429,15.6,.553,.207,.172,.113,.062,.447,.480,.614,.424,.363,.371,.365,.245,.601,.007,7,.193,.477,2,1,6MOY-3,willilo02
112,Lou Williams,30,LAL,SG,58,1,1403,.444,15.2,.568,.204,.187,.117,.064,.432,.489,.647,.423,.360,.383,.385,.225,.557,.007,5,.167,.509,1,1,,willilo02
112,Lou Williams,30,HOU,SG,23,0,591,.386,15.9,.511,.216,.133,.102,.057,.489,.452,.526,.429,.370,.333,.318,.311,.732,.008,2,.256,.424,1,0,,willilo02
113,Taj Gibson,31,2TM,PF,78,71,1989,.515,6.9,.982,.423,.283,.142,.131,.018,.520,.677,.448,.376,.333,.231,.657,.667,.096,63,.846,.182,1,1,,gibsota01
113,Taj Gibson,31,CHI,PF,55,55,1502,.521,7.0,.977,.419,.287,.140,.130,.023,.529,.680,.454,.405,.348,.167,.664,1.000,.085,43,.917,.182,0,0,,gibsota01
113,Taj Gibson,31,OKC,PF,23,16,487,.497,6.8,.994,.436,.274,.151,.134,.006,.494,.667,.429,.296,.292,1.000,.636,.000,.128,20,.000,,1,1,,gibsota01
114,Matthew Dellavedova,26,MIL,PG,76,54,1986,.390,15.1,.597,.150,.266,.101,.077,.403,.404,.400,.430,.389,.366,.367,.310,.861,.000,0,.144,.355,0,0,,dellama01
115,Malcolm Brogdon,24,MIL,SG,75,28,1982,.457,11.6,.696,.406,.118,.083,.088,.304,.480,.562,.333,.396,.375,.404,.415,.897,.039,24,.244,.489,1,0,ROY-16MOY-11,brogdma01
116,Joe Ingles,29,UTA,SF,82,26,1972,.452,18.1,.381,.182,.073,.040,.086,.619,.471,.671,.333,.222,.282,.441,.370,.821,.009,4,.355,.424,1,0,,inglejo01
117,Rodney McGruder,25,MIA,SG,78,65,1966,.413,15.2,.522,.215,.185,.059,.061,.478,.488,.707,.341,.296,.321,.332,.470,.986,.028,12,.541,.345,2,0,ROY-8,mcgruro01
118,Kent Bazemore,27,ATL,SF,73,64,1963,.409,14.8,.631,.272,.100,.062,.198,.369,.446,.566,.222,.311,.434,.346,.522,.848,.021,13,.327,.414,1,0,,bazemke01
119,Ish Smith,28,DET,PG,81,32,1955,.439,11.8,.860,.294,.171,.142,.252,.140,.467,.573,.328,.491,.429,.267,.116,.750,.005,4,.229,.417,2,0,,smithis01
120,Terrence Ross,25,2TM,SF,78,24,1955,.437,18.9,.476,.105,.088,.113,.168,.524,.518,.654,.515,.464,.480,.363,.511,.859,.044,29,.215,.345,3,0,,rosste01
120,Terrence Ross,25,TOR,SF,54,0,1207,.441,18.9,.466,.115,.081,.106,.159,.534,.516,.673,.538,.431,.461,.375,.435,.823,.052,22,.242,.387,2,0,,rosste01
120,Terrence Ross,25,ORL,SF,24,24,748,.431,19.0,.494,.086,.101,.124,.184,.506,.523,.609,.481,.515,.510,.341,.638,.935,.030,7,.163,.227,1,0,,rosste01
121,Frank Kaminsky,23,CHO,C,75,16,1954,.399,15.1,.559,.214,.213,.074,.056,.441,.455,.587,.427,.305,.267,.328,.627,1.000,.015,12,.110,.359,4,0,,kaminfr01
122,Jon Leuer,27,DET,PF,75,34,1944,.480,12.9,.741,.263,.150,.181,.149,.259,.545,.788,.423,.453,.354,.293,.739,1.000,.051,30,.228,.289,0,0,,leuerjo01
123,Iman Shumpert,26,CLE,SG,76,31,1937,.411,18.3,.466,.151,.049,.065,.198,.534,.469,.622,.125,.375,.474,.360,.346,.883,.031,11,.429,.384,0,0,,shumpim01
124,Chris Paul,31,LAC,PG,61,61,1921,.476,18.1,.615,.074,.070,.210,.261,.385,.518,.603,.564,.497,.498,.411,.124,.395,.000,0,.103,.484,1,0,DEF1,paulch01
125,Tony Allen,35,MEM,SG,71,66,1914,.461,5.6,.909,.652,.166,.030,.061,.091,.479,.557,.273,.333,.278,.278,.552,1.000,.027,16,.704,.316,0,0,DEF2,allento01
126,Buddy Hield,24,2TM,SG,82,55,1888,.426,16.9,.506,.197,.091,.100,.117,.494,.461,.550,.414,.442,.367,.391,.436,.791,.012,9,.169,.469,1,0,ROY-4,hieldbu01
126,Buddy Hield,24,NOP,SG,57,37,1161,.393,16.8,.488,.246,.068,.062,.113,.512,.417,.517,.219,.276,.396,.369,.490,.820,.011,5,.141,.441,1,0,,hieldbu01
126,Buddy Hield,24,SAC,SG,25,18,727,.480,17.0,.534,.118,.128,.162,.125,.466,.525,.657,.579,.542,.324,.428,.373,.746,.014,4,.217,.500,0,0,,hieldbu01
127,Kevin Love,28,CLE,PF,60,60,1885,.427,15.3,.551,.212,.156,.099,.084,.449,.471,.560,.415,.430,.397,.373,.551,.986,.014,12,.355,.413,0,0,AS,loveke01
128,DeMarre Carroll,30,TOR,SF,72,72,1882,.400,17.5,.418,.169,.133,.044,.073,.582,.483,.634,.370,.375,.400,.341,.586,.954,.011,6,.322,.388,1,0,,carrode01
129,Joe Johnson,35,UTA,SF,78,14,1843,.436,16.5,.588,.077,.224,.126,.157,.412,.454,.708,.457,.405,.378,.411,.150,.858,.000,0,.326,.440,1,1,,johnsjo02
130,Rajon Rondo,30,CHI,PG,69,42,1843,.408,11.9,.763,.351,.152,.061,.200,.237,.418,.497,.459,.147,.330,.376,.251,.940,.002,1,.481,.438,0,0,,rondora01
131,Avery Bradley,26,BOS,SG,55,55,1835,.463,15.1,.643,.270,.076,.066,.231,.357,.504,.622,.356,.529,.408,.390,.614,.815,.031,23,.296,.390,1,0,,bradlav01
132,Greg Monroe,26,MIL,C,81,0,1823,.533,4.5,.994,.569,.303,.055,.066,.006,.536,.620,.414,.475,.438,.000,.581,,.029,19,.000,,2,0,6MOY-6,monrogr01
133,E'Twaun Moore,27,NOP,SG,73,22,1820,.457,14.4,.664,.192,.199,.139,.137,.336,.501,.681,.488,.360,.400,.370,.422,.883,.010,6,.351,.397,0,0,,mooreet01
134,D'Angelo Russell,20,LAL,PG,63,60,1811,.405,16.9,.557,.146,.131,.125,.153,.443,.447,.559,.465,.352,.406,.352,.259,.637,.005,4,.133,.451,3,0,,russeda01
135,Danny Green,29,SAS,SG,68,68,1807,.392,19.9,.307,.111,.071,.053,.071,.693,.420,.540,.406,.208,.406,.379,.586,.924,.009,3,.315,.429,2,0,DEF2,greenda02
136,Brandon Jennings,27,2TM,PG,81,13,1802,.359,16.9,.529,.215,.099,.099,.116,.471,.399,.496,.245,.434,.323,.313,.177,.506,.000,0,.179,.378,2,0,,jennibr01
136,Brandon Jennings,27,NYK,PG,58,11,1428,.380,16.1,.534,.228,.096,.096,.114,.466,.415,.510,.268,.415,.347,.340,.200,.485,.000,0,.180,.444,2,0,,jennibr01
136,Brandon Jennings,27,WAS,PG,23,2,374,.274,17.6,.509,.160,.113,.113,.123,.491,.333,.412,.167,.500,.231,.212,.056,.636,.000,0,.173,.111,0,0,,jennibr01
137,Vince Carter,40,MEM,SF,73,15,1799,.394,18.4,.396,.182,.092,.047,.076,.604,.418,.483,.444,.174,.378,.378,.432,.875,.022,10,.193,.351,2,0,6MOY-11,cartevi01
138,Bismack Biyombo,24,ORL,C,81,27,1793,.528,4.0,1.000,.581,.319,.077,.029,.000,.528,.680,.324,.346,.100,,.816,,.230,69,,,0,0,,biyombi01
139,Dwyane Wade,35,CHI,SG,60,59,1792,.434,12.3,.848,.250,.160,.206,.232,.152,.456,.569,.425,.431,.374,.310,.328,.644,.036,29,.145,.476,0,0,,wadedw01
140,Luc Mbah a Moute,30,LAC,SF,80,76,1787,.505,11.9,.709,.450,.048,.016,.196,.291,.552,.624,.167,.333,.500,.391,.811,.977,.074,25,.745,.415,0,0,,mbahalu01
141,Zach Randolph,35,MEM,PF,73,5,1786,.449,10.3,.902,.293,.283,.111,.214,.098,.474,.610,.447,.421,.354,.223,.478,1.000,.005,5,.138,.308,5,0,6MOY-4,randoza01
142,Gary Harris,22,DEN,SG,57,56,1782,.502,13.2,.600,.383,.096,.042,.077,.400,.558,.656,.361,.444,.388,.420,.662,.972,.066,38,.239,.557,3,0,,harriga01
143,Marco Belinelli,30,CHO,SG,74,0,1778,.429,18.7,.540,.132,.052,.052,.306,.460,.488,.667,.344,.469,.436,.360,.679,.853,.003,1,.145,.463,1,0,,belinma01
144,Matt Barnes,36,2TM,SF,74,18,1777,.391,16.8,.444,.220,.114,.032,.080,.556,.467,.577,.389,.133,.395,.331,.735,.897,.019,7,.255,.388,2,0,,barnema02
144,Matt Barnes,36,SAC,SF,54,13,1367,.384,16.8,.449,.209,.133,.031,.078,.551,.453,.563,.412,.083,.367,.327,.705,.884,.021,7,.223,.362,2,0,,barnema02
144,Matt Barnes,36,GSW,SF,20,5,410,.422,16.9,.422,.267,.033,.033,.089,.578,.526,.625,.000,.333,.500,.346,.850,.944,.011,0,.385,.450,0,0,,barnema02
145,C.J. Miles,29,IND,SF,76,29,1776,.434,19.6,.368,.127,.070,.043,.128,.632,.471,.634,.400,.464,.349,.413,.571,.953,.017,8,.308,.508,1,0,,milescj01
146,Al-Farouq Aminu,26,POR,PF,61,25,1773,.393,14.0,.545,.320,.135,.030,.060,.455,.445,.530,.302,.357,.357,.330,.460,1.000,.058,24,.358,.355,3,0,,aminual01
147,Jamal Murray,19,DEN,SG,82,10,1764,.404,16.5,.529,.226,.096,.090,.116,.471,.466,.612,.357,.379,.341,.334,.483,.713,.026,17,.218,.413,8,0,ROY-5,murraja01
148,Rondae Hollis-Jefferson,22,BRK,SF,78,50,1761,.434,8.0,.876,.483,.181,.138,.072,.124,.463,.584,.296,.347,.308,.224,.518,.933,.076,37,.358,.208,1,0,,holliro01
149,Patty Mills,28,SAS,PG,80,8,1754,.440,19.2,.428,.148,.027,.027,.230,.572,.474,.641,.294,.412,.385,.414,.540,.823,.000,0,.276,.459,0,0,6MOY-8,millspa02
150,Trevor Booker,29,BRK,PF,71,43,1754,.516,7.8,.868,.450,.281,.058,.080,.132,.546,.658,.476,.324,.319,.321,.450,.840,.066,35,.295,.261,0,0,,booketr01
151,Sean Kilpatrick,27,BRK,SG,70,24,1754,.415,14.8,.581,.273,.143,.067,.097,.419,.468,.582,.362,.286,.423,.341,.430,.752,.007,5,.211,.338,7,0,,kilpase01
152,Kyle Korver,35,2TM,SG,67,22,1753,.464,22.0,.303,.041,.019,.047,.196,.697,.494,.667,.500,.292,.505,.451,.909,.975,.002,1,.267,.510,0,0,,korveky01
152,Kyle Korver,35,ATL,SG,32,21,894,.439,21.3,.354,.057,.024,.033,.240,.646,.494,.643,.333,.375,.492,.409,.884,.985,.000,0,.170,.519,0,0,,korveky01
152,Kyle Korver,35,CLE,SG,35,1,859,.487,22.6,.257,.026,.015,.059,.156,.743,.493,.714,.750,.250,.524,.485,.941,.969,.004,1,.345,.507,0,0,,korveky01
153,Zach LaVine,21,MIN,SG,47,47,1749,.459,15.7,.563,.272,.061,.049,.182,.437,.515,.637,.419,.343,.411,.387,.466,.808,.051,36,.235,.438,0,0,,lavinza01
154,Marquese Chriss,19,PHO,PF,82,75,1743,.449,11.8,.646,.411,.111,.046,.076,.354,.520,.615,.386,.310,.333,.321,.656,.986,.204,103,.438,.347,1,0,ROY-7,chrisma01
155,Ty Lawson,29,SAC,PG,69,24,1732,.454,13.2,.774,.268,.149,.144,.211,.226,.502,.629,.410,.520,.400,.288,.192,.735,.000,0,.195,.391,3,0,,lawsoty01
156,Garrett Temple,30,SAC,SG,65,20,1728,.424,17.2,.491,.190,.069,.076,.153,.509,.476,.646,.467,.455,.288,.373,.515,.915,.009,2,.377,.301,0,0,,templga01
157,Jabari Parker,21,MIL,PF,51,50,1728,.490,10.6,.781,.416,.146,.069,.150,.219,.525,.673,.361,.286,.385,.365,.599,.985,.120,92,.309,.436,3,0,,parkeja01
158,Cody Zeller,24,CHO,C,62,58,1725,.571,4.5,.998,.655,.194,.029,.120,.002,.572,.655,.477,.615,.264,.000,.798,,.205,83,.000,,0,0,,zelleco01
159,Will Barton,26,DEN,SG,60,19,1705,.443,13.0,.647,.303,.174,.095,.077,.353,.483,.579,.379,.460,.353,.370,.346,.724,.029,17,.136,.281,1,0,,bartowi01
160,Raymond Felton,32,LAC,PG,80,11,1700,.430,14.0,.720,.286,.140,.066,.228,.280,.473,.612,.403,.324,.385,.319,.246,.739,.000,0,.188,.593,6,0,,feltora01
161,Nikola Mirotić,25,CHI,PF,70,15,1679,.413,17.9,.397,.206,.070,.059,.059,.603,.520,.643,.409,.459,.297,.342,.690,.969,.026,16,.231,.460,1,0,,mirotni01
162,Gerald Henderson,29,PHI,SG,72,41,1667,.423,14.6,.687,.203,.119,.190,.172,.313,.455,.634,.364,.410,.368,.353,.538,.902,.033,17,.283,.367,2,0,,hendege02
163,Evan Turner,28,POR,SF,65,12,1658,.426,12.9,.786,.197,.176,.263,.149,.214,.470,.550,.536,.421,.378,.263,.176,.903,.011,6,.449,.321,0,0,,turneev01
164,Deron Williams,32,2TM,PG,64,44,1657,.438,16.3,.610,.135,.145,.112,.218,.390,.486,.543,.494,.433,.473,.363,.202,.706,.000,0,.145,.382,1,0,,willide01
164,Deron Williams,32,DAL,PG,40,40,1171,.430,16.8,.600,.130,.137,.113,.221,.400,.485,.542,.484,.451,.470,.348,.205,.714,.000,0,.149,.444,1,0,,willide01
164,Deron Williams,32,CLE,PG,24,4,486,.463,15.7,.639,.150,.170,.109,.211,.361,.489,.545,.520,.375,.484,.415,.196,.682,.000,0,.132,.143,0,0,,willide01
165,Dante Cunningham,29,NOP,PF,66,35,1649,.485,15.4,.496,.284,.084,.028,.100,.504,.579,.676,.467,.300,.472,.392,.777,1.000,.092,32,.691,.400,0,0,,cunnida01
166,Isaiah Whitehead,21,BRK,PG,73,26,1643,.402,11.6,.707,.386,.169,.057,.094,.293,.446,.520,.384,.345,.313,.295,.306,.864,.016,6,.154,.522,3,0,,whiteis01
167,Dorian Finney-Smith,23,DAL,PF,81,35,1642,.372,16.6,.426,.261,.075,.024,.069,.574,.479,.609,.280,.125,.304,.293,.647,.964,.093,26,.419,.263,3,0,,finnedo01
168,Justin Holiday,27,NYK,SG,82,4,1639,.433,17.6,.493,.197,.048,.071,.177,.507,.513,.642,.423,.474,.411,.355,.743,.979,.048,24,.348,.474,3,0,,holidju01
169,Domantas Sabonis,20,OKC,PF,81,66,1632,.399,12.7,.669,.283,.206,.067,.114,.331,.438,.551,.333,.219,.473,.321,.624,1.000,.035,15,.289,.283,0,0,,sabondo01
170,Pau Gasol,36,SAS,C,64,39,1627,.502,12.0,.828,.232,.260,.109,.227,.172,.494,.614,.452,.364,.482,.538,.668,1.000,.026,16,.298,.677,0,0,,gasolpa01
171,Richard Jefferson,36,CLE,SF,79,13,1614,.446,15.6,.458,.292,.087,.023,.055,.542,.580,.770,.200,.500,.211,.333,.747,.984,.122,39,.473,.375,1,0,,jefferi01
172,Josh Richardson,23,MIA,SG,53,34,1614,.394,16.9,.558,.172,.096,.101,.189,.442,.444,.545,.408,.519,.330,.330,.354,.933,.025,11,.260,.475,1,0,,richajo01
173,Amir Johnson,29,BOS,PF,80,77,1608,.576,7.0,.822,.524,.268,.014,.014,.178,.612,.716,.434,.400,.400,.409,.758,1.000,.124,41,.288,.316,0,0,,johnsam01
174,Kelly Oubre Jr.,21,WAS,SF,79,5,1605,.421,14.0,.575,.330,.095,.068,.084,.425,.520,.623,.333,.400,.405,.287,.545,.981,.106,41,.431,.185,1,0,,oubreke01
175,Patrick Patterson,27,TOR,PF,65,8,1599,.401,18.6,.341,.128,.112,.070,.031,.659,.458,.551,.419,.444,.250,.372,.517,.979,.023,7,.383,.412,1,1,,pattepa01
176,Thabo Sefolosha,32,ATL,SF,62,42,1596,.441,12.5,.696,.365,.089,.084,.157,.304,.484,.625,.343,.273,.355,.342,.647,.951,.053,18,.475,.351,0,0,,sefolth01
177,Rodney Hood,24,UTA,SG,59,55,1593,.408,16.8,.539,.123,.161,.140,.116,.461,.440,.573,.383,.409,.416,.371,.291,.746,.020,11,.248,.447,2,0,,hoodro01
178,Tony Parker,34,SAS,PG,63,63,1587,.466,11.1,.879,.285,.223,.112,.258,.121,.484,.580,.409,.391,.483,.333,.248,1.000,.000,0,.739,.333,0,0,,parketo01
179,Arron Afflalo,31,SAC,SG,61,45,1580,.440,16.8,.640,.100,.117,.186,.236,.360,.457,.571,.449,.449,.424,.411,.504,.968,.002,1,.384,.517,1,0,,afflaar01
180,Alex Len,23,PHO,C,77,34,1560,.497,6.3,.974,.510,.238,.097,.127,.026,.503,.669,.345,.267,.322,.250,.630,1.000,.179,72,.500,.333,2,0,,lenal01
181,Nick Young,31,LAL,SG,60,60,1556,.430,20.7,.335,.082,.030,.073,.150,.665,.481,.673,.316,.413,.442,.404,.529,.906,.013,8,.247,.385,0,0,,youngni01
182,Clint Capela,22,HOU,C,65,59,1551,.643,2.0,1.000,.787,.202,.005,.004,.000,.643,.725,.342,.333,.500,,.826,,.318,163,,,0,0,,capelca01
183,George Hill,30,UTA,PG,49,49,1544,.477,15.2,.616,.203,.134,.144,.132,.384,.523,.675,.469,.483,.400,.403,.256,.670,.008,4,.249,.448,2,0,,hillge01
184,D.J. Augustin,29,ORL,PG,78,20,1538,.377,18.1,.470,.164,.097,.060,.149,.530,.412,.482,.360,.355,.390,.347,.200,.737,.000,0,.186,.373,4,0,,augusdj01
185,Kelly Olynyk,25,BOS,C,75,6,1538,.512,13.1,.622,.368,.110,.065,.083,.378,.608,.754,.429,.364,.357,.354,.719,.956,.045,22,.161,.581,0,0,,olynyke01
186,Jeff Green,30,ORL,PF,69,11,1534,.394,14.8,.654,.233,.174,.111,.136,.346,.458,.562,.433,.419,.342,.275,.437,.943,.020,10,.176,.324,7,0,,greenje02
187,Enes Freedom,24,OKC,C,72,0,1533,.545,5.9,.948,.571,.212,.081,.084,.052,.568,.637,.526,.333,.435,.132,.496,1.000,.042,27,.474,.056,1,0,6MOY-8,kanteen01
188,Jerami Grant,22,2TM,PF,80,4,1531,.463,11.8,.646,.375,.131,.049,.091,.354,.514,.642,.395,.250,.300,.371,.651,.977,.149,47,.552,.438,0,0,,grantje01
188,Jerami Grant,22,PHI,PF,2,0,41,.353,11.5,.882,.294,.176,.059,.353,.118,.400,.600,.333,.000,.333,.000,1.000,,.059,1,.500,.000,0,0,,grantje01
188,Jerami Grant,22,OKC,PF,78,4,1490,.469,12.1,.633,.379,.129,.048,.077,.367,.523,.644,.400,.267,.292,.377,.631,.977,.154,46,.553,.444,0,0,,grantje01
189,Tim Frazier,26,NOP,PG,65,35,1525,.403,13.4,.683,.304,.149,.074,.156,.317,.446,.577,.317,.267,.397,.313,.268,.625,.002,1,.086,.182,0,0,,fraziti01
190,Sergio Rodríguez,30,PHI,PG,68,30,1518,.392,17.6,.530,.140,.110,.106,.174,.470,.415,.587,.390,.368,.323,.365,.195,.565,.000,0,.087,.545,0,0,,rodrise01
191,Shabazz Muhammad,24,MIN,SF,78,1,1516,.482,10.3,.758,.353,.244,.119,.040,.242,.528,.697,.425,.324,.292,.338,.674,.980,.099,53,.393,.404,0,0,,muhamsh01
192,Doug McDermott,25,2TM,SF,66,5,1508,.447,16.1,.581,.185,.135,.115,.149,.419,.502,.620,.433,.439,.459,.370,.766,.987,.022,8,.332,.391,0,0,,mcderdo01
192,Doug McDermott,25,CHI,SF,44,4,1078,.445,15.7,.598,.201,.123,.110,.166,.402,.493,.587,.457,.415,.452,.373,.800,1.000,.024,7,.347,.404,0,0,,mcderdo01
192,Doug McDermott,25,OKC,SF,22,1,430,.452,16.4,.532,.137,.169,.129,.097,.468,.530,.765,.381,.500,.500,.362,.657,.952,.016,1,.293,.353,0,0,,mcderdo01
193,James Ennis III,26,MEM,SF,64,28,1501,.455,13.1,.573,.421,.075,.012,.065,.427,.516,.600,.250,.500,.286,.372,.621,.941,.059,17,.409,.393,1,0,,ennisja01
194,Wayne Ellington,29,MIA,SG,62,13,1500,.416,22.1,.290,.047,.016,.023,.204,.710,.509,.846,.444,.154,.478,.378,.756,.926,.007,4,.282,.414,1,0,,ellinwa01
195,Langston Galloway,25,2TM,PG,74,2,1495,.380,19.6,.435,.090,.061,.057,.229,.565,.367,.510,.121,.355,.376,.390,.460,.917,.000,0,.149,.370,2,0,,gallola01
195,Langston Galloway,25,NOP,PG,55,0,1120,.374,20.8,.392,.095,.050,.050,.200,.608,.370,.500,.182,.364,.352,.377,.453,.901,.000,0,.149,.400,2,0,,gallola01
195,Langston Galloway,25,SAC,PG,19,2,375,.404,18.4,.615,.067,.106,.087,.356,.385,.359,.571,.000,.333,.432,.475,.478,1.000,.000,0,.150,.167,0,0,,gallola01
196,Luol Deng,31,LAL,SF,56,49,1486,.387,14.9,.611,.283,.094,.083,.156,.389,.436,.617,.350,.286,.227,.309,.549,.922,.031,10,.339,.393,3,0,,denglu01
197,David Lee,33,SAS,PF,79,10,1477,.590,4.7,1.000,.600,.245,.081,.074,.000,.590,.706,.417,.471,.355,,.698,,.107,44,,,0,0,,leeda02
198,Anthony Tolliver,31,SAC,PF,65,9,1477,.442,18.5,.345,.151,.103,.040,.054,.655,.537,.660,.528,.214,.421,.391,.646,1.000,.031,10,.278,.406,0,0,,tollian01
199,Andrew Harrison,22,MEM,PG,72,18,1474,.325,15.7,.567,.272,.100,.075,.122,.433,.363,.459,.333,.148,.295,.276,.149,.628,.006,1,.135,.429,5,0,,harrian01
200,Larry Nance Jr.,24,LAL,PF,63,7,1442,.526,9.3,.900,.416,.186,.114,.191,.100,.554,.700,.478,.317,.435,.278,.756,1.000,.169,60,.306,.182,2,0,,nancela02
201,Glenn Robinson III,23,IND,SF,69,27,1427,.467,15.4,.630,.228,.101,.080,.222,.370,.512,.623,.441,.481,.427,.392,.633,1.000,.071,21,.600,.440,0,0,,robingl02
202,Dirk Nowitzki,38,DAL,PF,54,54,1424,.437,18.0,.692,.062,.053,.217,.360,.308,.463,.571,.444,.476,.439,.378,.770,1.000,.003,2,.057,.417,0,0,,nowitdi01
203,Reggie Jackson,26,DET,PG,52,50,1424,.419,13.4,.728,.232,.207,.129,.161,.272,.442,.510,.371,.437,.440,.359,.073,.455,.012,6,.130,.292,3,0,,jacksre01
204,Willie Cauley-Stein,23,SAC,C,75,21,1421,.530,5.9,.996,.449,.326,.123,.098,.004,.532,.722,.382,.373,.362,.000,.725,,.187,80,.000,,0,0,,caulewi01
205,Sam Dekker,22,HOU,PF,77,2,1419,.473,12.6,.564,.436,.098,.012,.023,.436,.591,.647,.357,.400,.500,.321,.727,.967,.121,44,.353,.394,3,0,,dekkesa01
206,Kosta Koufos,27,SAC,C,71,62,1419,.551,4.8,.997,.411,.495,.089,.003,.003,.552,.696,.469,.371,.000,.000,.727,,.097,36,.000,,1,0,,koufoko01
207,Emmanuel Mudiay,20,DEN,PG,55,41,1406,.377,12.6,.677,.363,.113,.111,.094,.323,.408,.505,.290,.262,.327,.315,.368,.911,.025,12,.208,.297,1,0,,mudiaem01
208,Channing Frye,33,CLE,C,74,15,1398,.458,19.3,.356,.129,.077,.058,.094,.644,.546,.642,.400,.533,.531,.409,.832,1.000,.050,20,.224,.413,0,0,,fryech01
209,Jonathon Simmons,27,SAS,SG,78,8,1392,.420,12.0,.758,.349,.140,.081,.188,.242,.461,.592,.356,.412,.316,.294,.510,1.000,.093,31,.363,.297,4,0,,simmojo02
210,Jusuf Nurkić,22,2TM,C,65,48,1391,.507,4.3,.998,.612,.285,.015,.084,.002,.508,.578,.428,.250,.333,.000,.605,,.092,46,.000,,0,0,,nurkiju01
210,Jusuf Nurkić,22,DEN,C,45,29,807,.507,3.7,1.000,.638,.285,.017,.057,.000,.507,.579,.412,.400,.235,,.629,,.111,30,,,0,0,,nurkiju01
210,Jusuf Nurkić,22,POR,C,20,19,584,.508,4.9,.996,.581,.284,.013,.119,.004,.511,.577,.448,.000,.393,.000,.575,,.068,16,.000,,0,0,,nurkiju01
211,Dion Waiters,25,MIA,SG,46,43,1384,.424,13.8,.676,.345,.077,.051,.201,.324,.438,.507,.294,.235,.429,.395,.194,.800,.005,3,.260,.518,2,0,,waitedi01
212,Stanley Johnson,20,DET,SF,77,1,1371,.353,17.0,.578,.123,.151,.129,.175,.422,.398,.644,.255,.511,.266,.292,.345,.933,.008,3,.253,.359,2,0,,johnsst04
213,Norman Powell,23,TOR,SG,76,18,1368,.449,11.8,.658,.411,.128,.030,.091,.342,.514,.606,.354,.200,.413,.324,.263,.946,.067,31,.445,.338,0,0,,powelno01
214,Jason Terry,39,MIL,SG,74,0,1365,.432,19.8,.296,.115,.074,.049,.058,.704,.444,.500,.500,.333,.357,.427,.594,.932,.000,0,.520,.393,0,0,,terryja01
215,Jared Dudley,31,PHO,PF,64,7,1362,.454,19.3,.413,.147,.032,.061,.173,.587,.559,.706,.364,.524,.483,.379,.613,1.000,.000,0,.197,.225,0,0,,dudleja01
216,Shaun Livingston,31,GSW,PG,76,3,1345,.547,10.4,.991,.222,.130,.532,.104,.009,.550,.786,.683,.458,.364,.333,.512,1.000,.098,30,.000,,1,0,,livinsh01
217,Jaylen Brown,20,BOS,SF,78,20,1341,.454,11.7,.681,.404,.130,.076,.073,.319,.507,.614,.382,.344,.290,.341,.623,.957,.078,30,.356,.438,2,0,ROY-8,brownja02
218,Spencer Dinwiddie,23,BRK,PG,59,18,1334,.444,13.6,.666,.295,.156,.132,.089,.334,.478,.584,.362,.325,.556,.376,.229,.579,.023,7,.188,.474,1,0,,dinwisp01
219,Kris Dunn,22,MIN,PG,78,7,1333,.377,13.8,.767,.240,.150,.083,.294,.233,.404,.507,.426,.269,.348,.288,.289,.667,.029,7,.247,.278,0,0,,dunnkr01
220,Dwight Powell,25,DAL,C,77,3,1333,.515,10.4,.804,.446,.103,.053,.199,.196,.571,.762,.385,.400,.293,.284,.838,1.000,.146,54,.216,.125,1,0,,poweldw01
